"Statistikdatum","Region","X0_19_år","X20_69_år","X70_plus_år","period"
2020-02-27,"Riket",0,1,0,"vår"
2020-02-28,"Riket",0,3,0,"vår"
2020-02-29,"Riket",0,1,0,"vår"
2020-03-01,"Riket",0,0,0,"vår"
2020-03-02,"Riket",0,1,0,"vår"
2020-03-03,"Riket",1,8,0,"vår"
2020-03-04,"Riket",3,17,0,"vår"
2020-03-05,"Riket",3,18,0,"vår"
2020-03-06,"Riket",10,18,0,"vår"
2020-03-07,"Riket",2,16,0,"vår"
2020-03-08,"Riket",13,16,2,"vår"
2020-03-09,"Riket",16,35,5,"vår"
2020-03-10,"Riket",1,7,0,"vår"
2020-03-11,"Riket",1,8,5,"vår"
2020-03-12,"Riket",1,16,10,"vår"
2020-03-13,"Riket",1,39,8,"vår"
2020-03-14,"Riket",1,25,13,"vår"
2020-03-15,"Riket",3,16,15,"vår"
2020-03-16,"Riket",2,22,30,"vår"
2020-03-17,"Riket",4,40,26,"vår"
2020-03-18,"Riket",2,39,47,"vår"
2020-03-19,"Riket",5,45,53,"vår"
2020-03-20,"Riket",2,62,66,"vår"
2020-03-21,"Riket",0,55,43,"vår"
2020-03-22,"Riket",3,45,46,"vår"
2020-03-23,"Riket",2,71,81,"vår"
2020-03-24,"Riket",1,82,96,"vår"
2020-03-25,"Riket",2,120,138,"vår"
2020-03-26,"Riket",2,91,135,"vår"
2020-03-27,"Riket",1,132,129,"vår"
2020-03-28,"Riket",5,126,113,"vår"
2020-03-29,"Riket",5,114,116,"vår"
2020-03-30,"Riket",2,183,161,"vår"
2020-03-31,"Riket",4,195,160,"vår"
2020-04-01,"Riket",4,185,200,"vår"
2020-04-02,"Riket",7,227,186,"vår"
2020-04-03,"Riket",8,224,226,"vår"
2020-04-04,"Riket",3,125,125,"vår"
2020-04-05,"Riket",5,158,135,"vår"
2020-04-06,"Riket",6,159,126,"vår"
2020-04-07,"Riket",4,248,254,"vår"
2020-04-08,"Riket",7,220,231,"vår"
2020-04-09,"Riket",5,224,197,"vår"
2020-04-10,"Riket",1,164,168,"vår"
2020-04-11,"Riket",6,160,172,"vår"
2020-04-12,"Riket",5,198,140,"vår"
2020-04-13,"Riket",0,173,189,"vår"
2020-04-14,"Riket",5,158,162,"vår"
2020-04-15,"Riket",4,191,203,"vår"
2020-04-16,"Riket",3,199,196,"vår"
2020-04-17,"Riket",10,198,219,"vår"
2020-04-18,"Riket",5,171,174,"vår"
2020-04-19,"Riket",4,138,151,"vår"
2020-04-20,"Riket",3,160,147,"vår"
2020-04-21,"Riket",12,188,193,"vår"
2020-04-22,"Riket",6,161,181,"vår"
2020-04-23,"Riket",7,163,178,"vår"
